src_ip,dst_ip,src_port,dst_port,packet_count,byte_count,flow_duration,bytes_per_packet,label
10.0.0.3,10.0.0.4,52507,80,511,60327,0.11780721330038553,118.05675146771037,0
10.0.0.3,10.0.0.4,63429,80,510,59718,0.5762211134668861,117.09411764705882,0
10.0.0.2,10.0.0.4,13906,80,75,499814,12.75615836603313,6664.1866666666665,2
10.0.0.2,10.0.0.4,47176,80,18,1581,5.396845340679789,87.83333333333333,1
10.0.0.3,10.0.0.4,1814,80,20,1518,3.98864996076493,75.9,1
10.0.0.1,10.0.0.4,36259,80,19,1518,0.7895775790564431,79.89473684210526,1
10.0.0.1,10.0.0.4,19568,80,27,1510,7.535470888996524,55.925925925925924,1
10.0.0.2,10.0.0.4,5349,80,19,1502,32.2021239903393,79.05263157894737,1
10.0.0.1,10.0.0.4,34279,80,20,1544,1.7075090037502183,77.2,1
10.0.0.3,10.0.0.4,55609,80,17,1506,7.862835614670194,88.58823529411765,1
10.0.0.3,10.0.0.4,13999,80,489,59639,1.1441699802879783,121.96114519427402,0
10.0.0.3,10.0.0.4,31561,80,490,59826,0.45249729894341856,122.09387755102041,0
10.0.0.1,10.0.0.4,2408,80,83,500352,9.052225331131414,6028.3373493975905,2
10.0.0.3,10.0.0.4,2924,80,16,1493,0.44811840760376914,93.3125,1
10.0.0.3,10.0.0.4,51538,80,18,1493,5.85535339542075,82.94444444444444,1
10.0.0.1,10.0.0.4,7738,80,24,1526,1.410116817324492,63.583333333333336,1
10.0.0.3,10.0.0.4,57908,80,25,1556,3.762892288963418,62.24,1
10.0.0.3,10.0.0.4,11792,80,25,1455,9.65691726330897,58.2,1
10.0.0.2,10.0.0.4,27233,80,20,1461,4.155749255045017,73.05,1
10.0.0.2,10.0.0.4,30544,80,21,1516,1.3845042041866253,72.19047619047619,1
10.0.0.3,10.0.0.4,44579,80,508,60187,0.7419336013670743,118.47834645669292,0
10.0.0.3,10.0.0.4,32802,80,511,59817,0.2285795584759539,117.0587084148728,0
10.0.0.2,10.0.0.4,1538,80,93,500159,9.804114725480291,5378.05376344086,2
10.0.0.2,10.0.0.4,13790,80,11,1549,2.1414818516448877,140.8181818181818,1
10.0.0.3,10.0.0.4,58879,80,23,1535,6.693348424448274,66.73913043478261,1
10.0.0.2,10.0.0.4,36657,80,22,1514,0.9265875352174168,68.81818181818181,1
